name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
St. Mary's Square,2773694353532228764,restroom,0,0,0,0,37.7917148,-122.4050789,rec,POINT (-122.4050789 37.7917148),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,108,104,6,3
Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72936532,-122.40966414,rec,POINT (-122.40966414 37.72936532),9,Portola,2023-03-08,2023-03-08T15:29:00Z,25,130,91,2,2
McCoppin Square,1509436752478679569,drinking_water,1,0,0,0,37.74335886,-122.48071011,rec,POINT (-122.48071011 37.74335886),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,139,40,10,7
West Sunset Playground,7394643088409434148,drinking_water,1,0,0,0,37.75081461,-122.49830886,rec,POINT (-122.49830886 37.75081461),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,93,39,10,7
Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77132558,-122.49902721,rec,POINT (-122.49902721 37.77132558),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
,8817975702393619368,restroom,0,0,0,0,37.71408478,-122.42330327,rec,POINT (-122.42330327 37.71408478),10,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19,,73,9,9
24th and Mission (JCDecaux),7281076794307575995,restroom,0,0,0,0,37.7521752,-122.4185771,pit_stop,POINT (-122.4185771 37.7521752),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Noe Valley Courts,7029988507837525942,drinking_water,1,0,0,0,37.75123798,-122.43898765,rec,POINT (-122.43898765 37.75123798),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,132,51,3,5
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76679915,-122.50817339,rec,POINT (-122.50817339 37.76679915),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
,8817975702393619368,restroom,0,0,0,0,37.80189573,-122.4139387,rec,POINT (-122.4139387 37.80189573),3,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32,,107,6,3
Gilman Playground,4279471113896791598,drinking_water,1,0,0,0,37.71732023,-122.3871657,rec,POINT (-122.3871657 37.71732023),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,169,88,2,9
Alta Plaza Park,2241215992070893956,drinking_water,1,0,0,0,37.79117799,-122.43716113,rec,POINT (-122.43716113 37.79117799),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,149,102,4,6
States Street Playground,1226215836415782389,restroom,0,0,0,0,37.76376474,-122.43856948,rec,POINT (-122.43856948 37.76376474),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,107,113,7,5
Joseph L. Alioto Performing Arts Piazza,1121675889758828519,drinking_water,1,0,0,0,37.77989802,-122.4172927,rec,POINT (-122.4172927 37.77989802),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,57,21,4,10
Helen Wills Playground,1518179830506757776,drinking_water,1,0,0,0,37.79571325,-122.42046723,rec,POINT (-122.42046723 37.79571325),3,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32,175,105,4,3
16th and Capp streets   TEMPORARILY CLOSED,6219708960125226485,restroom,0,0,0,0,37.7651596,-122.4187982,pit_stop,POINT (-122.4187982 37.7651596),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Golden Gate Park - Section 5,6218325272602983271,restroom,0,0,0,0,37.76952981,-122.48469261,rec,POINT (-122.48469261 37.76952981),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
Sunset Rec Center,3142068490630731138,drinking_water,1,0,0,0,37.75683512,-122.48689079,rec,POINT (-122.48689079 37.75683512),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,105,39,10,7
Buena Vista Avenue East & Haight Street,5573892709891802927,restroom,0,0,0,0,37.7708518,-122.4403874,pit_stop,POINT (-122.4403874 37.7708518),5,Haight Ashbury,2023-03-08,2023-03-08T15:29:00Z,3,,112,7,11
Victoria Manalo Draves Park (Rec Park),221747607211983534,restroom,0,0,0,0,37.7767602,-122.4060242,pit_stop,POINT (-122.4060242 37.7767602),6,South of Market,2023-03-08,2023-03-08T15:29:00Z,34,98,32,1,10
Fulton Playground,2431148630494119459,drinking_water,1,0,0,0,37.77352288,-122.48697439,rec,POINT (-122.48697439 37.77352288),1,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29,210,8,8,4
Golden Gate Park - Section 7,7708155196457707211,drinking_water,1,0,0,0,37.76916936,-122.45877021,rec,POINT (-122.45877021 37.76916936),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,228,9,7,11
West Portal Playground,5278295398742666438,drinking_water,1,0,0,0,37.74173372,-122.46516693,rec,POINT (-122.46516693 37.74173372),7,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41,223,46,10,8
St. Mary's Rec Center,2831681459449739072,restroom,0,0,0,0,37.7335634,-122.42139728,rec,POINT (-122.42139728 37.7335634),9,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2,109,93,9,2
Mechanics Plaza at Battery/Market,4010859251661602629,drinking_water,0,1,0,0,37.79129,-122.399052,puc,POINT (-122.399052 37.79129),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,,108,6,3
Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.7694843,-122.4847645,rec,POINT (-122.4847645 37.7694843),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.78696692,-122.46778648,rec,POINT (-122.46778648 37.78696692),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,134,4,,6
474 O'Farrell Street,5601879945750936299,restroom,0,0,0,0,37.7858991,-122.4119361,pit_stop,POINT (-122.4119361 37.7858991),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,5,10
Community Youth Center,3575271813702956970,drinking_water,0,1,0,0,37.78702,-122.419028,puc,POINT (-122.419028 37.78702),3,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21,,50,4,3
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76717876,-122.50798028,rec,POINT (-122.50798028 37.76717876),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Stanyan and Waller streets (JCDecaux),3881244056408532343,restroom,0,0,0,0,37.7682426,-122.4534175,pit_stop,POINT (-122.4534175 37.7682426),5,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,,9,7,11
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.77269076,-122.4551895,rec,POINT (-122.4551895 37.77269076),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,4
Washington Square,5386547074523041759,restroom,0,0,0,0,37.8010607,-122.41064148,rec,POINT (-122.41064148 37.8010607),3,North Beach,2023-03-08,2023-03-08T15:29:00Z,23,94,106,6,3
Lower Great Highway,2779846454828783660,restroom,0,0,0,0,37.76023995,-122.50955372,rec,POINT (-122.50955372 37.76023995),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,20,39,10,7
Noe Valley Courts,7029988507837525942,restroom,0,0,0,0,37.75148373,-122.43920333,rec,POINT (-122.43920333 37.75148373),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,132,51,3,5
Parkside Square,4331392490837902930,drinking_water,1,0,0,0,37.73787439,-122.48462486,rec,POINT (-122.48462486 37.73787439),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,217,40,10,7
Excelsior Playground,6088569207447809868,drinking_water,1,0,0,0,37.72007917,-122.43379905,rec,POINT (-122.43379905 37.72007917),11,Excelsior,2023-03-08,2023-03-08T15:29:00Z,7,161,90,9,1
Pier 14,760719995364998060,drinking_water,1,1,0,0,37.793789,-122.392106,port,POINT (-122.392106 37.793789),6,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,,108,1,10
Michelangelo Playground,7384056565533913918,drinking_water,1,0,0,0,37.80117348,-122.41698043,rec,POINT (-122.41698043 37.80117348),3,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32,137,107,6,6
Eddy St. and Jones St.,5781725755408126527,restroom,0,0,0,0,37.7841238,-122.4122697,pit_stop,POINT (-122.4122697 37.7841238),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,162,20,5,10
Golden Gate Park - Section 3,4964708923013958658,restroom,0,0,0,0,37.77259668,-122.46077554,rec,POINT (-122.46077554 37.77259668),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,231,9,7,4
Merced Heights Playground,5714191605765301439,drinking_water,1,0,0,0,37.71766522,-122.4700903,rec,POINT (-122.4700903 37.71766522),11,Oceanview/Merced/Ingleside,2023-03-08,2023-03-08T15:29:00Z,24,138,65,10,1
Glide Memorial,5163727995885862566,drinking_water,0,1,1,0,37.78512,-122.411443,puc,POINT (-122.411443 37.78512),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,5,10
Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72927918,-122.40968938,rec,POINT (-122.40968938 37.72927918),9,Portola,2023-03-08,2023-03-08T15:29:00Z,25,130,91,2,2
Upper Noe Rec Center,3743241463504969307,drinking_water,1,0,0,0,37.74272463,-122.42700808,rec,POINT (-122.42700808 37.74272463),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,100,84,9,5
Corona Heights Park,4514408095122533218,drinking_water,1,0,0,0,37.7653027,-122.44026421,rec,POINT (-122.44026421 37.7653027),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,202,113,7,5
Glen Canyon Park,2107234989712530644,drinking_water,1,0,0,0,37.73663137,-122.44060334,rec,POINT (-122.44060334 37.73663137),8,Glen Park,2023-03-08,2023-03-08T15:29:00Z,10,239,96,9,5
Douglass Playground,5578072315167653993,restroom,0,0,0,0,37.74627823,-122.43966856,rec,POINT (-122.43966856 37.74627823),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,206,57,3,5
,8817975702393619368,drinking_water,1,0,0,0,37.78658959,-122.39430126,rec,POINT (-122.39430126 37.78658959),6,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,,30,1,10
Holly Park,8335222720363753276,restroom,0,0,0,0,37.73711767,-122.42057325,rec,POINT (-122.42057325 37.73711767),9,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2,47,61,9,2
Minnie and Lovie Rec Center,6941931346616109343,drinking_water,1,0,0,0,37.71510852,-122.45622907,rec,POINT (-122.45622907 37.71510852),11,Oceanview/Merced/Ingleside,2023-03-08,2023-03-08T15:29:00Z,24,89,81,10,1
388 Ellis St.   Tenderloin Pit Stop Daily,4343160334641664872,restroom,0,0,0,0,37.7850978,-122.4125547,pit_stop,POINT (-122.4125547 37.7850978),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,5,10
Cottage Row Mini Park,6381947528447111567,drinking_water,1,0,0,0,37.78640627,-122.43225925,rec,POINT (-122.43225925 37.78640627),5,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,157,101,4,11
South Sunset Playground,1587063322310935668,drinking_water,1,0,0,0,37.7379974,-122.49832049,rec,POINT (-122.49832049 37.7379974),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,110,40,10,7
Shanti Project,2426436033216087414,drinking_water,0,1,1,0,37.783718,-122.419224,puc,POINT (-122.419224 37.783718),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,4,10
Mendell Plaza   Bayview Pit Stop Daily,897319470345964542,restroom,0,0,0,0,37.7340389,-122.3908134,pit_stop,POINT (-122.3908134 37.7340389),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,,86,2,9
Golden Gate Park - Section 6,8799521284584025481,restroom,0,0,0,0,37.7679705,-122.50180555,rec,POINT (-122.50180555 37.7679705),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Tenderloin Recreation Center,206870895537627156,drinking_water,1,0,0,0,37.7847946,-122.41546384,rec,POINT (-122.41546384 37.7847946),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,103,20,5,10
Hilltop Park,5266853380894405697,drinking_water,0,1,1,0,37.73328,-122.38366,puc,POINT (-122.38366 37.73328),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,,86,2,9
Golden Gate Park - Section 4,6170016268480192283,drinking_water,1,0,0,0,37.77201183,-122.47113451,rec,POINT (-122.47113451 37.77201183),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,232,9,8,4
Glen Canyon Park,2107234989712530644,drinking_water,1,0,0,0,37.73654768,-122.44077523,rec,POINT (-122.44077523 37.73654768),8,Glen Park,2023-03-08,2023-03-08T15:29:00Z,10,239,96,9,5
Earl’s Organic,5106290751104947072,drinking_water,0,1,1,0,37.744233,-122.398524,puc,POINT (-122.398524 37.744233),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,,85,2,9
Eureka Valley Rec Center,5072124464803258922,drinking_water,1,0,0,0,37.75991077,-122.4362795,rec,POINT (-122.4362795 37.75991077),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,208,38,3,5
Presidio Heights Playground,5271140156822696650,drinking_water,1,0,0,0,37.78852676,-122.44978261,rec,POINT (-122.44978261 37.78852676),2,Presidio Heights,2023-03-08,2023-03-08T15:29:00Z,31,125,10,8,6
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.77273326,-122.45793152,rec,POINT (-122.45793152 37.77273326),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,4
Francisco Park,7566119450437207717,restroom,0,0,0,0,37.80356263,-122.42126977,rec,POINT (-122.42126977 37.80356263),2,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32,193,107,6,6
Mission Playground,4376923903940484698,drinking_water,1,0,0,0,37.75959003,-122.42272716,rec,POINT (-122.42272716 37.75959003),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,214,37,3,5
Joseph L. Alioto Performing Arts Piazza,1121675889758828519,drinking_water,1,0,0,0,37.77916054,-122.41720821,rec,POINT (-122.41720821 37.77916054),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,57,21,4,10
Lafayette Park,93632238906721509,drinking_water,1,0,0,0,37.79100922,-122.42733069,rec,POINT (-122.42733069 37.79100922),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,212,102,4,6
Potrero Hill Rec Center,914116007433839616,drinking_water,1,0,0,0,37.75609116,-122.39682454,rec,POINT (-122.39682454 37.75609116),10,Potrero Hill,2023-03-08,2023-03-08T15:29:00Z,26,64,54,2,9
U.N. Plaza (JCDecaux)   Mid Market Pit Stop Daily,2769713894485467610,restroom,0,0,0,0,37.7801432,-122.4130822,pit_stop,POINT (-122.4130822 37.7801432),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,21,5,10
3100 26th Street,2016930850356890330,restroom,0,0,0,0,37.749447,-122.4116183,pit_stop,POINT (-122.4116183 37.749447),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
The Ferry Building,6345506553776018279,drinking_water,1,1,0,0,37.79542,-122.39363,port,POINT (-122.39363 37.79542),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,,108,6,3
Crocker Amazon Playground,2435568120723313055,drinking_water,1,0,0,0,37.713786,-122.42992586,rec,POINT (-122.42992586 37.713786),11,Excelsior,2023-03-08,2023-03-08T15:29:00Z,7,158,58,9,1
Golden Gate Heights Park,5847093041834995725,drinking_water,1,0,0,0,37.75014094,-122.46852366,rec,POINT (-122.46852366 37.75014094),7,Inner Sunset,2023-03-08,2023-03-08T15:29:00Z,14,48,44,10,8
Hilltop Park,5266853380894405697,restroom,0,0,0,0,37.73306554,-122.38256487,rec,POINT (-122.38256487 37.73306554),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,120,86,2,9
Sunnyside Conservatory,6526956823029595609,drinking_water,1,0,0,0,37.73193324,-122.44072734,rec,POINT (-122.44072734 37.73193324),7,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41,106,95,9,8
Portsmouth Square,6740425421970699303,drinking_water,1,0,0,0,37.79507948,-122.40537145,rec,POINT (-122.40537145 37.79507948),3,Chinatown,2023-03-08,2023-03-08T15:29:00Z,6,127,104,6,3
St. Mary's Rec Center,2831681459449739072,drinking_water,1,0,0,0,37.73294241,-122.42103915,rec,POINT (-122.42103915 37.73294241),9,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2,109,93,9,2
Golden Gate Park - Section 7,7708155196457707211,restroom,0,0,0,0,37.76818302,-122.45891024,rec,POINT (-122.45891024 37.76818302),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,228,9,7,11
Balboa Park,5104072779848174871,restroom,0,0,0,0,37.7251441,-122.44551726,rec,POINT (-122.44551726 37.7251441),11,Outer Mission,2023-03-08,2023-03-08T15:29:00Z,28,76,94,9,1
Adam Rodgers Park,1080250236324111795,restroom,0,0,0,0,37.73087893,-122.38372074,rec,POINT (-122.38372074 37.73087893),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,146,86,2,9
Myrtle and Larkin streets (JCDecaux),2036881255296904282,restroom,0,0,0,0,37.7855716,-122.4180901,pit_stop,POINT (-122.4180901 37.7855716),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,113,20,5,10
Alice Chalmers Playground,3141016569795048395,drinking_water,1,0,0,0,37.70975093,-122.44677245,rec,POINT (-122.44677245 37.70975093),11,Excelsior,2023-03-08,2023-03-08T15:29:00Z,7,68,58,9,1
Raymond Kimball Playground,4398727798151847140,drinking_water,1,0,0,0,37.78248303,-122.43557489,rec,POINT (-122.43557489 37.78248303),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,123,97,4,11
Telegraph Hill - Pioneer Park,4319864457267319582,drinking_water,1,0,0,0,37.80226523,-122.40593129,rec,POINT (-122.40593129 37.80226523),3,North Beach,2023-03-08,2023-03-08T15:29:00Z,23,227,18,6,3
Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72924873,-122.40980624,rec,POINT (-122.40980624 37.72924873),9,Portola,2023-03-08,2023-03-08T15:29:00Z,25,130,91,2,2
Pier 7,8096256367090940691,drinking_water,1,1,0,0,37.79897,-122.39703,port,POINT (-122.39703 37.79897),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,,77,6,3
Golden Gate Park - Section 4,6170016268480192283,restroom,0,0,0,0,37.76637374,-122.47668262,rec,POINT (-122.47668262 37.76637374),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,232,9,8,4
