name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.7679226,-122.50183443,rec,POINT (-122.50183443 37.7679226),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Washington Square at Union St. (JCDecaux),1188837193886178893,restroom,0,0,0,0,37.8004679,-122.4097323,pit_stop,POINT (-122.4097323 37.8004679),3,North Beach,2023-03-08,2023-03-08T15:29:00Z,23,94,106,6,3
Holly Park,8335222720363753276,drinking_water,1,0,0,0,37.73711021,-122.42054762,rec,POINT (-122.42054762 37.73711021),9,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2,47,61,9,2
Lafayette Park,93632238906721509,restroom,0,0,0,0,37.79170664,-122.4281209,rec,POINT (-122.4281209 37.79170664),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,212,102,4,6
Mission Playground,4376923903940484698,drinking_water,1,0,0,0,37.75943802,-122.42239536,rec,POINT (-122.42239536 37.75943802),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,214,37,3,5
Eddy St. and Larkin St.   Tenderloin Pit Stop Daily,3456542317931018260,restroom,0,0,0,0,37.783353,-122.41769,pit_stop,POINT (-122.41769 37.783353),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,5,10
Washington & Hyde Mini Park,6118209949725913034,drinking_water,1,0,0,0,37.79402744,-122.41741747,rec,POINT (-122.41741747 37.79402744),3,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32,95,16,6,3
885 Potrero Ave.,609393030088581305,restroom,0,0,0,0,37.7584902,-122.4067787,pit_stop,POINT (-122.4067787 37.7584902),10,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,54,3,9
Coleridge Mini Park,7714353101840966458,drinking_water,1,0,0,0,37.74427895,-122.41948145,rec,POINT (-122.41948145 37.74427895),9,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2,156,83,9,2
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76632871,-122.45490832,rec,POINT (-122.45490832 37.76632871),5,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,11
DuPont Tennis Courts,3112532211757124214,restroom,0,0,0,0,37.78287907,-122.49084001,rec,POINT (-122.49084001 37.78287907),1,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29,207,8,8,4
Golden Gate Park - Section 6,8799521284584025481,restroom,0,0,0,0,37.76726034,-122.50795587,rec,POINT (-122.50795587 37.76726034),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
J.P. Murphy Playground,5770721695184792140,drinking_water,1,0,0,0,37.75208919,-122.46504439,rec,POINT (-122.46504439 37.75208919),7,Inner Sunset,2023-03-08,2023-03-08T15:29:00Z,14,178,45,10,8
Lake Merced Park,3772981690646760232,drinking_water,1,0,0,0,37.72593889,-122.49983697,rec,POINT (-122.49983697 37.72593889),7,Lakeshore,2023-03-08,2023-03-08T15:29:00Z,16,2,43,10,8
16th and Mission streets (JCDecaux),7221677675869011765,restroom,0,0,0,0,37.7649465,-122.4200173,pit_stop,POINT (-122.4200173 37.7649465),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Alamo Square,6959569036012888541,restroom,0,0,0,0,37.7760676,-122.43430947,rec,POINT (-122.43430947 37.7760676),5,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9,67,23,4,11
Alta Plaza Park,2241215992070893956,drinking_water,1,0,0,0,37.79123499,-122.43818413,rec,POINT (-122.43818413 37.79123499),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,149,102,4,6
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76471074,-122.50481421,rec,POINT (-122.50481421 37.76471074),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Golden Gate Park - Section 4,6170016268480192283,restroom,0,0,0,0,37.77097466,-122.47686404,rec,POINT (-122.47686404 37.77097466),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,232,9,8,4
Kid Power Park,7341627948818218065,drinking_water,1,0,0,0,37.76416258,-122.42023207,rec,POINT (-122.42023207 37.76416258),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,185,53,3,2
Mission Dolores Park,4639117197814467839,restroom,0,0,0,0,37.75855884,-122.42640751,rec,POINT (-122.42640751 37.75855884),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,213,37,3,5
Midtown Terrace Playground,333313217401931593,drinking_water,1,0,0,0,37.7516673,-122.45582057,rec,POINT (-122.45582057 37.7516673),7,Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,38,61,48,7,8
Betty Ann Ong Chinese Rec Center,5717379400426049330,drinking_water,1,0,0,0,37.7942862,-122.41168095,rec,POINT (-122.41168095 37.7942862),3,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21,155,16,6,3
Golden Gate Park,5221741286129844184,restroom,0,0,0,0,37.77044092,-122.46943285,rec,POINT (-122.46943285 37.77044092),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,235,9,8,4
Golden Gate Park - Section 1,6809243918520221532,restroom,0,0,0,0,37.7737476,-122.45598221,rec,POINT (-122.45598221 37.7737476),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,4
Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80566642,-122.44826981,rec,POINT (-122.44826981 37.80566642),2,Marina,2023-03-08,2023-03-08T15:29:00Z,13,90,17,4,6
West Sunset Playground,7394643088409434148,drinking_water,1,0,0,0,37.75041827,-122.49810499,rec,POINT (-122.49810499 37.75041827),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,93,39,10,7
Precita Park,3039714577729476961,drinking_water,1,0,0,0,37.74685541,-122.41324323,rec,POINT (-122.41324323 37.74685541),9,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2,6,83,9,2
Mendell Plaza,1583894823483341905,drinking_water,0,1,1,0,37.734648,-122.390524,puc,POINT (-122.390524 37.734648),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,,86,2,9
McCoppin Square,1509436752478679569,restroom,0,0,0,0,37.74352757,-122.4809021,rec,POINT (-122.4809021 37.74352757),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,139,40,10,7
Moscone Rec Center,6411078000601779573,drinking_water,1,0,0,0,37.80148695,-122.43322679,rec,POINT (-122.43322679 37.80148695),2,Marina,2023-03-08,2023-03-08T15:29:00Z,13,135,17,4,6
SFGH Building 25 Covid 19 Pit Stop,5196614314585233279,restroom,0,0,0,0,37.7551445,-122.405358,pit_stop,POINT (-122.405358 37.7551445),10,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,54,3,9
Lafayette Park,93632238906721509,drinking_water,1,0,0,0,37.79159123,-122.42816475,rec,POINT (-122.42816475 37.79159123),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,212,102,4,6
Julian Avenue & 15th Street,4109869391381659677,restroom,0,0,0,0,37.7665961,-122.4210799,pit_stop,POINT (-122.4210799 37.7665961),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Gilman Playground,4279471113896791598,restroom,0,0,0,0,37.71717854,-122.38877266,rec,POINT (-122.38877266 37.71717854),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,169,88,2,9
Lake Merced Park,3772981690646760232,drinking_water,1,0,0,0,37.71236352,-122.4892926,rec,POINT (-122.4892926 37.71236352),7,Lakeshore,2023-03-08,2023-03-08T15:29:00Z,16,2,43,10,8
Bayview Gateway Park,6601007062272325826,drinking_water,1,1,0,0,37.74671,-122.38634,port,POINT (-122.38634 37.74671),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,,56,2,9
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76571257,-122.50068772,rec,POINT (-122.50068772 37.76571257),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Golden Gate Park - Section 4,6170016268480192283,drinking_water,1,0,0,0,37.77055198,-122.48012797,rec,POINT (-122.48012797 37.77055198),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,232,9,8,4
Collis P. Huntington Park,6935885594250252375,drinking_water,1,0,0,0,37.79207322,-122.41236906,rec,POINT (-122.41236906 37.79207322),3,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21,83,16,6,3
Golden Gate Park - Section 6,8799521284584025481,restroom,0,0,0,0,37.76447883,-122.50494432,rec,POINT (-122.50494432 37.76447883),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Angelo J. Rossi Playground,2207155170251026602,drinking_water,1,0,0,0,37.77799189,-122.45768122,rec,POINT (-122.45768122 37.77799189),1,Lone Mountain/USF,2023-03-08,2023-03-08T15:29:00Z,18,204,12,8,4
Union Square,1862328560630035398,drinking_water,1,0,0,0,37.78787423,-122.40696416,rec,POINT (-122.40696416 37.78787423),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,5,19,6,3
Lower Great Highway,2779846454828783660,restroom,0,0,0,0,37.74137308,-122.50704387,rec,POINT (-122.50704387 37.74137308),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,20,39,10,7
19th & Alabama,2447204787546099701,drinking_water,0,1,1,0,37.760315,-122.412135,puc,POINT (-122.412135 37.760315),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Moscone Rec Center,6411078000601779573,restroom,0,0,0,0,37.80219698,-122.43461481,rec,POINT (-122.43461481 37.80219698),2,Marina,2023-03-08,2023-03-08T15:29:00Z,13,135,17,4,6
Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78125838,-122.4251805,rec,POINT (-122.4251805 37.78125838),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,140,100,4,11
Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80670676,-122.44215859,rec,POINT (-122.44215859 37.80670676),2,Marina,2023-03-08,2023-03-08T15:29:00Z,13,90,17,4,6
Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.7290478,-122.41022876,rec,POINT (-122.41022876 37.7290478),9,Portola,2023-03-08,2023-03-08T15:29:00Z,25,130,91,2,2
Alioto Mini Park,410195810252731064,drinking_water,1,0,0,0,37.75898886,-122.41821739,rec,POINT (-122.41821739 37.75898886),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,147,53,3,2
344 14th St.,2093142863690023456,restroom,0,0,0,0,37.7682576,-122.4210014,pit_stop,POINT (-122.4210014 37.7682576),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Youngblood-Coleman Playground,3768334776058442288,drinking_water,1,0,0,0,37.73918099,-122.38561322,rec,POINT (-122.38561322 37.73918099),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,224,86,2,9
TNDC: Candlestick Block A,8119082390481302510,drinking_water,0,1,1,0,37.719071,-122.393147,puc,POINT (-122.393147 37.719071),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,,88,2,9
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76698984,-122.45331526,rec,POINT (-122.45331526 37.76698984),5,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,11
Jose Coronado Playground,8490608740193645389,drinking_water,1,0,0,0,37.75767194,-122.4150853,rec,POINT (-122.4150853 37.75767194),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,181,53,3,2
Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.7874885,-122.46840518,rec,POINT (-122.46840518 37.7874885),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,134,4,,6
Alamo Square,6959569036012888541,drinking_water,1,0,0,0,37.77636848,-122.43369437,rec,POINT (-122.43369437 37.77636848),5,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9,67,23,4,11
Shoreview Park,3758888913228979167,drinking_water,1,0,0,0,37.73177418,-122.38124461,rec,POINT (-122.38124461 37.73177418),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,201,86,2,9
Pier 27 Beltline Building,7267887821631352683,out_of_service,1,0,0,0,,,port,,,,2023-03-08,2023-03-08T15:29:00Z,,,,,
Father Alfred E. Boeddeker Park,8063825715053078081,drinking_water,1,0,0,0,37.78432803,-122.41219514,rec,POINT (-122.41219514 37.78432803),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,162,20,5,10
Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77022742,-122.49550509,rec,POINT (-122.49550509 37.77022742),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
SF SPCA,6928189952947179522,drinking_water,0,1,1,0,37.765617,-122.412366,puc,POINT (-122.412366 37.765617),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Sunnyside Playground,8135329547080825432,restroom,0,0,0,0,37.73389387,-122.44826465,rec,POINT (-122.44826465 37.73389387),7,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41,222,95,9,8
200 Leavenworth St,5385327011882538150,restroom,0,0,0,0,37.783043,-122.4140649,pit_stop,POINT (-122.4140649 37.783043),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,5,10
Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72890204,-122.40967397,rec,POINT (-122.40967397 37.72890204),9,Portola,2023-03-08,2023-03-08T15:29:00Z,25,130,91,2,2
Mission Dolores Park,4639117197814467839,drinking_water,1,0,0,0,37.75946665,-122.42709257,rec,POINT (-122.42709257 37.75946665),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,213,37,3,5
Golden Gate Park - Section 3,4964708923013958658,restroom,0,0,0,0,37.76680021,-122.46834526,rec,POINT (-122.46834526 37.76680021),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,231,9,8,11
Miraloma Playground,3434447048369702477,drinking_water,1,0,0,0,37.73909955,-122.44948027,rec,POINT (-122.44948027 37.73909955),7,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41,136,72,9,8
Booker T Washington Community Center,3961536016987241368,drinking_water,0,1,0,0,37.78413,-122.446083,puc,POINT (-122.446083 37.78413),5,Presidio Heights,2023-03-08,2023-03-08T15:29:00Z,31,,103,8,11
McKinley Square,4834900561554929022,drinking_water,1,0,0,0,37.75910373,-122.40446258,rec,POINT (-122.40446258 37.75910373),10,Potrero Hill,2023-03-08,2023-03-08T15:29:00Z,26,60,54,2,9
George Christopher Playground,5896147016579609940,drinking_water,1,0,0,0,37.74424426,-122.44034754,rec,POINT (-122.44034754 37.74424426),8,Glen Park,2023-03-08,2023-03-08T15:29:00Z,10,168,57,9,5
Argonne Playground,3730480648958535714,drinking_water,1,0,0,0,37.77957573,-122.47775862,rec,POINT (-122.47775862 37.77957573),1,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29,71,5,8,4
Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80646105,-122.4345325,rec,POINT (-122.4345325 37.80646105),2,Marina,2023-03-08,2023-03-08T15:29:00Z,13,90,17,4,6
J.P. Murphy Playground,5770721695184792140,drinking_water,1,0,0,0,37.75154041,-122.46517657,rec,POINT (-122.46517657 37.75154041),7,Inner Sunset,2023-03-08,2023-03-08T15:29:00Z,14,178,45,10,8
Embarcadero Plaza (JCDecaux),1855925590564081494,restroom,0,0,0,0,37.7946278,-122.394598,pit_stop,POINT (-122.394598 37.7946278),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,58,108,6,3
Angelo J. Rossi Playground,2207155170251026602,restroom,0,0,0,0,37.77798344,-122.45765905,rec,POINT (-122.45765905 37.77798344),1,Lone Mountain/USF,2023-03-08,2023-03-08T15:29:00Z,18,204,12,8,4
Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77162903,-122.49512297,rec,POINT (-122.49512297 37.77162903),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
24th & Mission,2599759550272697651,drinking_water,0,1,1,0,37.752333,-122.418141,puc,POINT (-122.418141 37.752333),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78078047,-122.42680235,rec,POINT (-122.42680235 37.78078047),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,140,100,4,11
Palace of Fine Arts,6271010963659229503,drinking_water,1,0,0,0,37.80168236,-122.44789925,rec,POINT (-122.44789925 37.80168236),2,Marina,2023-03-08,2023-03-08T15:29:00Z,13,21,17,4,6
Parque Ninos Unidos,1084870256219315580,drinking_water,1,0,0,0,37.75438525,-122.41380597,rec,POINT (-122.41380597 37.75438525),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,129,53,3,2
Willie Woo Woo Wong Playground,3627932914298100031,drinking_water,1,0,0,0,37.79361887,-122.40704916,rec,POINT (-122.40704916 37.79361887),3,Chinatown,2023-03-08,2023-03-08T15:29:00Z,6,92,104,6,3
Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78071968,-122.42685193,rec,POINT (-122.42685193 37.78071968),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,140,100,4,11
Lessing & Sears Mini Park,5345415778062975156,drinking_water,1,0,0,0,37.70862863,-122.45543913,rec,POINT (-122.45543913 37.70862863),11,Outer Mission,2023-03-08,2023-03-08T15:29:00Z,28,35,66,9,1
Alta Plaza Park,2241215992070893956,restroom,0,0,0,0,37.79124135,-122.43815491,rec,POINT (-122.43815491 37.79124135),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,149,102,4,6
Great Highway near Beach Chalet,5905501385590634738,restroom,0,0,0,0,37.7675953,-122.5107794,pit_stop,POINT (-122.5107794 37.7675953),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,20,9,8,4
Washington Square,5386547074523041759,drinking_water,1,0,0,0,37.80051842,-122.40977497,rec,POINT (-122.40977497 37.80051842),3,North Beach,2023-03-08,2023-03-08T15:29:00Z,23,94,106,6,3
Mountain Lake Park,4251616439565783958,restroom,0,0,0,0,37.78697325,-122.47175634,rec,POINT (-122.47175634 37.78697325),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,134,4,,6
Douglass Playground,5578072315167653993,drinking_water,1,0,0,0,37.74791286,-122.43838861,rec,POINT (-122.43838861 37.74791286),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,206,57,3,5
6th and Natoma streets,6802133843988071090,restroom,0,0,0,0,37.780182,-122.4077046,pit_stop,POINT (-122.4077046 37.780182),6,South of Market,2023-03-08,2023-03-08T15:29:00Z,34,,32,1,10
Cabrillo Playground,1438954292253289309,drinking_water,1,0,0,0,37.77296905,-122.49899506,rec,POINT (-122.49899506 37.77296905),1,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29,81,8,8,4
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76624071,-122.45577565,rec,POINT (-122.45577565 37.76624071),5,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,11
