,name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
180,Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.7679226,-122.50183443,rec,POINT (-122.50183443 37.7679226),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
181,Washington Square at Union St. (JCDecaux),1188837193886178893,restroom,0,0,0,0,37.8004679,-122.4097323,pit_stop,POINT (-122.4097323 37.8004679),3.0,North Beach,2023-03-08,2023-03-08T15:29:00Z,23.0,94.0,106.0,6.0,3.0
182,Holly Park,8335222720363753276,drinking_water,1,0,0,0,37.73711021,-122.42054762,rec,POINT (-122.42054762 37.73711021),9.0,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2.0,47.0,61.0,9.0,2.0
183,Lafayette Park,93632238906721509,restroom,0,0,0,0,37.79170664,-122.4281209,rec,POINT (-122.4281209 37.79170664),2.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,212.0,102.0,4.0,6.0
184,Mission Playground,4376923903940484698,drinking_water,1,0,0,0,37.75943802,-122.42239536,rec,POINT (-122.42239536 37.75943802),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,214.0,37.0,3.0,5.0
185,Eddy St. and Larkin St.   Tenderloin Pit Stop Daily,3456542317931018260,restroom,0,0,0,0,37.783353,-122.41769,pit_stop,POINT (-122.41769 37.783353),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,20.0,5.0,10.0
186,Washington & Hyde Mini Park,6118209949725913034,drinking_water,1,0,0,0,37.79402744,-122.41741747,rec,POINT (-122.41741747 37.79402744),3.0,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32.0,95.0,16.0,6.0,3.0
187,885 Potrero Ave.,609393030088581305,restroom,0,0,0,0,37.7584902,-122.4067787,pit_stop,POINT (-122.4067787 37.7584902),10.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,54.0,3.0,9.0
188,Coleridge Mini Park,7714353101840966458,drinking_water,1,0,0,0,37.74427895,-122.41948145,rec,POINT (-122.41948145 37.74427895),9.0,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2.0,156.0,83.0,9.0,2.0
189,Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76632871,-122.45490832,rec,POINT (-122.45490832 37.76632871),5.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,229.0,9.0,7.0,11.0
190,DuPont Tennis Courts,3112532211757124214,restroom,0,0,0,0,37.78287907,-122.49084001,rec,POINT (-122.49084001 37.78287907),1.0,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29.0,207.0,8.0,8.0,4.0
191,Golden Gate Park - Section 6,8799521284584025481,restroom,0,0,0,0,37.76726034,-122.50795587,rec,POINT (-122.50795587 37.76726034),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
192,J.P. Murphy Playground,5770721695184792140,drinking_water,1,0,0,0,37.75208919,-122.46504439,rec,POINT (-122.46504439 37.75208919),7.0,Inner Sunset,2023-03-08,2023-03-08T15:29:00Z,14.0,178.0,45.0,10.0,8.0
193,Lake Merced Park,3772981690646760232,drinking_water,1,0,0,0,37.72593889,-122.49983697,rec,POINT (-122.49983697 37.72593889),7.0,Lakeshore,2023-03-08,2023-03-08T15:29:00Z,16.0,2.0,43.0,10.0,8.0
194,16th and Mission streets (JCDecaux),7221677675869011765,restroom,0,0,0,0,37.7649465,-122.4200173,pit_stop,POINT (-122.4200173 37.7649465),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
195,Alamo Square,6959569036012888541,restroom,0,0,0,0,37.7760676,-122.43430947,rec,POINT (-122.43430947 37.7760676),5.0,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9.0,67.0,23.0,4.0,11.0
196,Alta Plaza Park,2241215992070893956,drinking_water,1,0,0,0,37.79123499,-122.43818413,rec,POINT (-122.43818413 37.79123499),2.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,149.0,102.0,4.0,6.0
197,Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76471074,-122.50481421,rec,POINT (-122.50481421 37.76471074),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
198,Golden Gate Park - Section 4,6170016268480192283,restroom,0,0,0,0,37.77097466,-122.47686404,rec,POINT (-122.47686404 37.77097466),7.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,232.0,9.0,8.0,4.0
199,Kid Power Park,7341627948818218065,drinking_water,1,0,0,0,37.76416258,-122.42023207,rec,POINT (-122.42023207 37.76416258),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,185.0,53.0,3.0,2.0
200,Mission Dolores Park,4639117197814467839,restroom,0,0,0,0,37.75855884,-122.42640751,rec,POINT (-122.42640751 37.75855884),8.0,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5.0,213.0,37.0,3.0,5.0
201,Midtown Terrace Playground,333313217401931593,drinking_water,1,0,0,0,37.7516673,-122.45582057,rec,POINT (-122.45582057 37.7516673),7.0,Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,38.0,61.0,48.0,7.0,8.0
202,Betty Ann Ong Chinese Rec Center,5717379400426049330,drinking_water,1,0,0,0,37.7942862,-122.41168095,rec,POINT (-122.41168095 37.7942862),3.0,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21.0,155.0,16.0,6.0,3.0
203,Golden Gate Park,5221741286129844184,restroom,0,0,0,0,37.77044092,-122.46943285,rec,POINT (-122.46943285 37.77044092),7.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,235.0,9.0,8.0,4.0
204,Golden Gate Park - Section 1,6809243918520221532,restroom,0,0,0,0,37.7737476,-122.45598221,rec,POINT (-122.45598221 37.7737476),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,229.0,9.0,7.0,4.0
205,Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80566642,-122.44826981,rec,POINT (-122.44826981 37.80566642),2.0,Marina,2023-03-08,2023-03-08T15:29:00Z,13.0,90.0,17.0,4.0,6.0
206,West Sunset Playground,7394643088409434148,drinking_water,1,0,0,0,37.75041827,-122.49810499,rec,POINT (-122.49810499 37.75041827),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,93.0,39.0,10.0,7.0
207,Precita Park,3039714577729476961,drinking_water,1,0,0,0,37.74685541,-122.41324323,rec,POINT (-122.41324323 37.74685541),9.0,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2.0,6.0,83.0,9.0,2.0
208,Mendell Plaza,1583894823483341905,drinking_water,0,1,1,0,37.734648,-122.390524,puc,POINT (-122.390524 37.734648),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,,86.0,2.0,9.0
209,McCoppin Square,1509436752478679569,restroom,0,0,0,0,37.74352757,-122.4809021,rec,POINT (-122.4809021 37.74352757),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,139.0,40.0,10.0,7.0
210,Moscone Rec Center,6411078000601779573,drinking_water,1,0,0,0,37.80148695,-122.43322679,rec,POINT (-122.43322679 37.80148695),2.0,Marina,2023-03-08,2023-03-08T15:29:00Z,13.0,135.0,17.0,4.0,6.0
211,SFGH Building 25 Covid 19 Pit Stop,5196614314585233279,restroom,0,0,0,0,37.7551445,-122.405358,pit_stop,POINT (-122.405358 37.7551445),10.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,54.0,3.0,9.0
212,Lafayette Park,93632238906721509,drinking_water,1,0,0,0,37.79159123,-122.42816475,rec,POINT (-122.42816475 37.79159123),2.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,212.0,102.0,4.0,6.0
213,Julian Avenue & 15th Street,4109869391381659677,restroom,0,0,0,0,37.7665961,-122.4210799,pit_stop,POINT (-122.4210799 37.7665961),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
214,Gilman Playground,4279471113896791598,restroom,0,0,0,0,37.71717854,-122.38877266,rec,POINT (-122.38877266 37.71717854),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,169.0,88.0,2.0,9.0
215,Lake Merced Park,3772981690646760232,drinking_water,1,0,0,0,37.71236352,-122.4892926,rec,POINT (-122.4892926 37.71236352),7.0,Lakeshore,2023-03-08,2023-03-08T15:29:00Z,16.0,2.0,43.0,10.0,8.0
216,Bayview Gateway Park,6601007062272325826,drinking_water,1,1,0,0,37.74671,-122.38634,port,POINT (-122.38634 37.74671),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,,56.0,2.0,9.0
217,Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76571257,-122.50068772,rec,POINT (-122.50068772 37.76571257),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
218,Golden Gate Park - Section 4,6170016268480192283,drinking_water,1,0,0,0,37.77055198,-122.48012797,rec,POINT (-122.48012797 37.77055198),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,232.0,9.0,8.0,4.0
219,Collis P. Huntington Park,6935885594250252375,drinking_water,1,0,0,0,37.79207322,-122.41236906,rec,POINT (-122.41236906 37.79207322),3.0,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21.0,83.0,16.0,6.0,3.0
220,Golden Gate Park - Section 6,8799521284584025481,restroom,0,0,0,0,37.76447883,-122.50494432,rec,POINT (-122.50494432 37.76447883),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
221,Angelo J. Rossi Playground,2207155170251026602,drinking_water,1,0,0,0,37.77799189,-122.45768122,rec,POINT (-122.45768122 37.77799189),1.0,Lone Mountain/USF,2023-03-08,2023-03-08T15:29:00Z,18.0,204.0,12.0,8.0,4.0
222,Union Square,1862328560630035398,drinking_water,1,0,0,0,37.78787423,-122.40696416,rec,POINT (-122.40696416 37.78787423),3.0,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8.0,5.0,19.0,6.0,3.0
223,Lower Great Highway,2779846454828783660,restroom,0,0,0,0,37.74137308,-122.50704387,rec,POINT (-122.50704387 37.74137308),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,20.0,39.0,10.0,7.0
224,19th & Alabama,2447204787546099701,drinking_water,0,1,1,0,37.760315,-122.412135,puc,POINT (-122.412135 37.760315),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
225,Moscone Rec Center,6411078000601779573,restroom,0,0,0,0,37.80219698,-122.43461481,rec,POINT (-122.43461481 37.80219698),2.0,Marina,2023-03-08,2023-03-08T15:29:00Z,13.0,135.0,17.0,4.0,6.0
226,Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78125838,-122.4251805,rec,POINT (-122.4251805 37.78125838),5.0,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39.0,140.0,100.0,4.0,11.0
227,Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80670676,-122.44215859,rec,POINT (-122.44215859 37.80670676),2.0,Marina,2023-03-08,2023-03-08T15:29:00Z,13.0,90.0,17.0,4.0,6.0
228,Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.7290478,-122.41022876,rec,POINT (-122.41022876 37.7290478),9.0,Portola,2023-03-08,2023-03-08T15:29:00Z,25.0,130.0,91.0,2.0,2.0
229,Alioto Mini Park,410195810252731064,drinking_water,1,0,0,0,37.75898886,-122.41821739,rec,POINT (-122.41821739 37.75898886),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,147.0,53.0,3.0,2.0
230,344 14th St.,2093142863690023456,restroom,0,0,0,0,37.7682576,-122.4210014,pit_stop,POINT (-122.4210014 37.7682576),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
231,Youngblood-Coleman Playground,3768334776058442288,drinking_water,1,0,0,0,37.73918099,-122.38561322,rec,POINT (-122.38561322 37.73918099),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,224.0,86.0,2.0,9.0
232,TNDC: Candlestick Block A,8119082390481302510,drinking_water,0,1,1,0,37.719071,-122.393147,puc,POINT (-122.393147 37.719071),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,,88.0,2.0,9.0
233,Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76698984,-122.45331526,rec,POINT (-122.45331526 37.76698984),5.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,229.0,9.0,7.0,11.0
234,Jose Coronado Playground,8490608740193645389,drinking_water,1,0,0,0,37.75767194,-122.4150853,rec,POINT (-122.4150853 37.75767194),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,181.0,53.0,3.0,2.0
235,Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.7874885,-122.46840518,rec,POINT (-122.46840518 37.7874885),1.0,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11.0,134.0,4.0,,6.0
236,Alamo Square,6959569036012888541,drinking_water,1,0,0,0,37.77636848,-122.43369437,rec,POINT (-122.43369437 37.77636848),5.0,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9.0,67.0,23.0,4.0,11.0
237,Shoreview Park,3758888913228979167,drinking_water,1,0,0,0,37.73177418,-122.38124461,rec,POINT (-122.38124461 37.73177418),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,201.0,86.0,2.0,9.0
238,Pier 27 Beltline Building,7267887821631352683,out_of_service,1,0,0,0,,,port,,,,2023-03-08,2023-03-08T15:29:00Z,,,,,
239,Father Alfred E. Boeddeker Park,8063825715053078081,drinking_water,1,0,0,0,37.78432803,-122.41219514,rec,POINT (-122.41219514 37.78432803),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,162.0,20.0,5.0,10.0
240,Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77022742,-122.49550509,rec,POINT (-122.49550509 37.77022742),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,233.0,9.0,8.0,4.0
241,SF SPCA,6928189952947179522,drinking_water,0,1,1,0,37.765617,-122.412366,puc,POINT (-122.412366 37.765617),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
242,Sunnyside Playground,8135329547080825432,restroom,0,0,0,0,37.73389387,-122.44826465,rec,POINT (-122.44826465 37.73389387),7.0,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41.0,222.0,95.0,9.0,8.0
243,200 Leavenworth St,5385327011882538150,restroom,0,0,0,0,37.783043,-122.4140649,pit_stop,POINT (-122.4140649 37.783043),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,20.0,5.0,10.0
244,Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72890204,-122.40967397,rec,POINT (-122.40967397 37.72890204),9.0,Portola,2023-03-08,2023-03-08T15:29:00Z,25.0,130.0,91.0,2.0,2.0
245,Mission Dolores Park,4639117197814467839,drinking_water,1,0,0,0,37.75946665,-122.42709257,rec,POINT (-122.42709257 37.75946665),8.0,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5.0,213.0,37.0,3.0,5.0
246,Golden Gate Park - Section 3,4964708923013958658,restroom,0,0,0,0,37.76680021,-122.46834526,rec,POINT (-122.46834526 37.76680021),7.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,231.0,9.0,8.0,11.0
247,Miraloma Playground,3434447048369702477,drinking_water,1,0,0,0,37.73909955,-122.44948027,rec,POINT (-122.44948027 37.73909955),7.0,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41.0,136.0,72.0,9.0,8.0
248,Booker T Washington Community Center,3961536016987241368,drinking_water,0,1,0,0,37.78413,-122.446083,puc,POINT (-122.446083 37.78413),5.0,Presidio Heights,2023-03-08,2023-03-08T15:29:00Z,31.0,,103.0,8.0,11.0
249,McKinley Square,4834900561554929022,drinking_water,1,0,0,0,37.75910373,-122.40446258,rec,POINT (-122.40446258 37.75910373),10.0,Potrero Hill,2023-03-08,2023-03-08T15:29:00Z,26.0,60.0,54.0,2.0,9.0
250,George Christopher Playground,5896147016579609940,drinking_water,1,0,0,0,37.74424426,-122.44034754,rec,POINT (-122.44034754 37.74424426),8.0,Glen Park,2023-03-08,2023-03-08T15:29:00Z,10.0,168.0,57.0,9.0,5.0
251,Argonne Playground,3730480648958535714,drinking_water,1,0,0,0,37.77957573,-122.47775862,rec,POINT (-122.47775862 37.77957573),1.0,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29.0,71.0,5.0,8.0,4.0
252,Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80646105,-122.4345325,rec,POINT (-122.4345325 37.80646105),2.0,Marina,2023-03-08,2023-03-08T15:29:00Z,13.0,90.0,17.0,4.0,6.0
253,J.P. Murphy Playground,5770721695184792140,drinking_water,1,0,0,0,37.75154041,-122.46517657,rec,POINT (-122.46517657 37.75154041),7.0,Inner Sunset,2023-03-08,2023-03-08T15:29:00Z,14.0,178.0,45.0,10.0,8.0
254,Embarcadero Plaza (JCDecaux),1855925590564081494,restroom,0,0,0,0,37.7946278,-122.394598,pit_stop,POINT (-122.394598 37.7946278),3.0,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8.0,58.0,108.0,6.0,3.0
255,Angelo J. Rossi Playground,2207155170251026602,restroom,0,0,0,0,37.77798344,-122.45765905,rec,POINT (-122.45765905 37.77798344),1.0,Lone Mountain/USF,2023-03-08,2023-03-08T15:29:00Z,18.0,204.0,12.0,8.0,4.0
256,Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77162903,-122.49512297,rec,POINT (-122.49512297 37.77162903),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,233.0,9.0,8.0,4.0
257,24th & Mission,2599759550272697651,drinking_water,0,1,1,0,37.752333,-122.418141,puc,POINT (-122.418141 37.752333),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
258,Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78078047,-122.42680235,rec,POINT (-122.42680235 37.78078047),5.0,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39.0,140.0,100.0,4.0,11.0
259,Palace of Fine Arts,6271010963659229503,drinking_water,1,0,0,0,37.80168236,-122.44789925,rec,POINT (-122.44789925 37.80168236),2.0,Marina,2023-03-08,2023-03-08T15:29:00Z,13.0,21.0,17.0,4.0,6.0
260,Parque Ninos Unidos,1084870256219315580,drinking_water,1,0,0,0,37.75438525,-122.41380597,rec,POINT (-122.41380597 37.75438525),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,129.0,53.0,3.0,2.0
261,Willie Woo Woo Wong Playground,3627932914298100031,drinking_water,1,0,0,0,37.79361887,-122.40704916,rec,POINT (-122.40704916 37.79361887),3.0,Chinatown,2023-03-08,2023-03-08T15:29:00Z,6.0,92.0,104.0,6.0,3.0
262,Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78071968,-122.42685193,rec,POINT (-122.42685193 37.78071968),5.0,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39.0,140.0,100.0,4.0,11.0
263,Lessing & Sears Mini Park,5345415778062975156,drinking_water,1,0,0,0,37.70862863,-122.45543913,rec,POINT (-122.45543913 37.70862863),11.0,Outer Mission,2023-03-08,2023-03-08T15:29:00Z,28.0,35.0,66.0,9.0,1.0
264,Alta Plaza Park,2241215992070893956,restroom,0,0,0,0,37.79124135,-122.43815491,rec,POINT (-122.43815491 37.79124135),2.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,149.0,102.0,4.0,6.0
265,Great Highway near Beach Chalet,5905501385590634738,restroom,0,0,0,0,37.7675953,-122.5107794,pit_stop,POINT (-122.5107794 37.7675953),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,20.0,9.0,8.0,4.0
266,Washington Square,5386547074523041759,drinking_water,1,0,0,0,37.80051842,-122.40977497,rec,POINT (-122.40977497 37.80051842),3.0,North Beach,2023-03-08,2023-03-08T15:29:00Z,23.0,94.0,106.0,6.0,3.0
267,Mountain Lake Park,4251616439565783958,restroom,0,0,0,0,37.78697325,-122.47175634,rec,POINT (-122.47175634 37.78697325),1.0,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11.0,134.0,4.0,,6.0
268,Douglass Playground,5578072315167653993,drinking_water,1,0,0,0,37.74791286,-122.43838861,rec,POINT (-122.43838861 37.74791286),8.0,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22.0,206.0,57.0,3.0,5.0
269,6th and Natoma streets,6802133843988071090,restroom,0,0,0,0,37.780182,-122.4077046,pit_stop,POINT (-122.4077046 37.780182),6.0,South of Market,2023-03-08,2023-03-08T15:29:00Z,34.0,,32.0,1.0,10.0
270,Cabrillo Playground,1438954292253289309,drinking_water,1,0,0,0,37.77296905,-122.49899506,rec,POINT (-122.49899506 37.77296905),1.0,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29.0,81.0,8.0,8.0,4.0
271,Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76624071,-122.45577565,rec,POINT (-122.45577565 37.76624071),5.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,229.0,9.0,7.0,11.0
